"Activity" "Variable" "Subset" "Subject" "Average"
"LAYING" "fBodyAcc-mean-Z" "Train" "1" -0.314387529606987
"LAYING" "fBodyAcc-mean-Z" "Train" "2" -0.377056860694444
"LAYING" "fBodyAcc-mean-Z" "Train" "3" -0.26803625502
"LAYING" "fBodyAcc-mean-Z" "Train" "4" -0.9652927169163
"LAYING" "fBodyAcc-mean-Z" "Train" "5" -0.954505900445344
"LAYING" "fBodyAcc-mean-Z" "Train" "6" -0.976456908020833
"LAYING" "fBodyAcc-std-X" "Test" "1" -0.395583149012195
"LAYING" "fBodyAcc-std-X" "Test" "2" -0.431056204235714
"LAYING" "fBodyAcc-std-X" "Test" "3" -0.348926237692308
"LAYING" "fBodyAcc-std-X" "Test" "4" -0.986327303673469
"LAYING" "fBodyAcc-std-X" "Test" "5" -0.977757285697674
"LAYING" "fBodyAcc-std-X" "Test" "6" -0.985514956055046
"LAYING" "fBodyAcc-std-X" "Train" "1" -0.330793200790393
"LAYING" "fBodyAcc-std-X" "Train" "2" -0.410849203626389
"LAYING" "fBodyAcc-std-X" "Train" "3" -0.0978169209475
"LAYING" "fBodyAcc-std-X" "Train" "4" -0.986222702114537
"LAYING" "fBodyAcc-std-X" "Train" "5" -0.977735506761134
"LAYING" "fBodyAcc-std-X" "Train" "6" -0.983890739965278
"LAYING" "fBodyAcc-std-Y" "Test" "1" 0.0627921506341463
"LAYING" "fBodyAcc-std-Y" "Test" "2" 0.0092420083297619
"LAYING" "fBodyAcc-std-Y" "Test" "3" 0.0599608484089744
"LAYING" "fBodyAcc-std-Y" "Test" "4" -0.953954282346939
"LAYING" "fBodyAcc-std-Y" "Test" "5" -0.928668643953488
"LAYING" "fBodyAcc-std-Y" "Test" "6" -0.977586923119266
"LAYING" "fBodyAcc-std-Y" "Train" "1" -0.209789251144978
"LAYING" "fBodyAcc-std-Y" "Train" "2" -0.124338431114954
"LAYING" "fBodyAcc-std-Y" "Train" "3" -0.1100420121819
"LAYING" "fBodyAcc-std-Y" "Train" "4" -0.948913869823789
"LAYING" "fBodyAcc-std-Y" "Train" "5" -0.913325277125506
"LAYING" "fBodyAcc-std-Y" "Train" "6" -0.966686321388889
"LAYING" "fBodyAcc-std-Z" "Test" "1" -0.324825749878049
"LAYING" "fBodyAcc-std-Z" "Test" "2" -0.274333151190476
"LAYING" "fBodyAcc-std-Z" "Test" "3" -0.296957307192308
"LAYING" "fBodyAcc-std-Z" "Test" "4" -0.947012375816327
"LAYING" "fBodyAcc-std-Z" "Test" "5" -0.925917796744186
"LAYING" "fBodyAcc-std-Z" "Test" "6" -0.97204203559633
"LAYING" "fBodyAcc-std-Z" "Train" "1" -0.254902711039301
"LAYING" "fBodyAcc-std-Z" "Train" "2" -0.0304921739960185
"LAYING" "fBodyAcc-std-Z" "Train" "3" -0.30526574301
"LAYING" "fBodyAcc-std-Z" "Train" "4" -0.949405677577092
"LAYING" "fBodyAcc-std-Z" "Train" "5" -0.931012154939271
"LAYING" "fBodyAcc-std-Z" "Train" "6" -0.973583510347222
"LAYING" "fBodyAccJerk-mean-X" "Test" "1" -0.373863123678049
"LAYING" "fBodyAccJerk-mean-X" "Test" "2" -0.404880973128571
"LAYING" "fBodyAccJerk-mean-X" "Test" "3" -0.309714763961538
"LAYING" "fBodyAccJerk-mean-X" "Test" "4" -0.986952480204082
"LAYING" "fBodyAccJerk-mean-X" "Test" "5" -0.978873071976744
"LAYING" "fBodyAccJerk-mean-X" "Test" "6" -0.987774691100917
"LAYING" "fBodyAccJerk-mean-X" "Train" "1" -0.361806656847162
"LAYING" "fBodyAccJerk-mean-X" "Train" "2" -0.417447558361111
"LAYING" "fBodyAccJerk-mean-X" "Train" "3" -0.1475563781445
"LAYING" "fBodyAccJerk-mean-X" "Train" "4" -0.987077896343612
"LAYING" "fBodyAccJerk-mean-X" "Train" "5" -0.980077751174089
"LAYING" "fBodyAccJerk-mean-X" "Train" "6" -0.985563169201389
"LAYING" "fBodyAccJerk-mean-Y" "Test" "1" -0.145202966231707
"LAYING" "fBodyAccJerk-mean-Y" "Test" "2" -0.436923243539286
"LAYING" "fBodyAccJerk-mean-Y" "Test" "3" -0.084697311201282
"LAYING" "fBodyAccJerk-mean-Y" "Test" "4" -0.977307558877551
"LAYING" "fBodyAccJerk-mean-Y" "Test" "5" -0.965128963837209
"LAYING" "fBodyAccJerk-mean-Y" "Test" "6" -0.981165453119266
"LAYING" "fBodyAccJerk-mean-Y" "Train" "1" -0.223325889509607
"LAYING" "fBodyAccJerk-mean-Y" "Train" "2" -0.460182553703704
"LAYING" "fBodyAccJerk-mean-Y" "Train" "3" -0.133752650868
"LAYING" "fBodyAccJerk-mean-Y" "Train" "4" -0.976738969471366
"LAYING" "fBodyAccJerk-mean-Y" "Train" "5" -0.958777201821862
"LAYING" "fBodyAccJerk-mean-Y" "Train" "6" -0.981019461701389
"LAYING" "fBodyAccJerk-mean-Z" "Test" "1" -0.455342827804878
"LAYING" "fBodyAccJerk-mean-Z" "Test" "2" -0.49194614047619
"LAYING" "fBodyAccJerk-mean-Z" "Test" "3" -0.297997770974359
"LAYING" "fBodyAccJerk-mean-Z" "Test" "4" -0.97669696744898
"LAYING" "fBodyAccJerk-mean-Z" "Test" "5" -0.971270166395349
"LAYING" "fBodyAccJerk-mean-Z" "Test" "6" -0.98199527559633
"LAYING" "fBodyAccJerk-mean-Z" "Train" "1" -0.436801038122271
"LAYING" "fBodyAccJerk-mean-Z" "Train" "2" -0.651089033472222
"LAYING" "fBodyAccJerk-mean-Z" "Train" "3" -0.38219904077
"LAYING" "fBodyAccJerk-mean-Z" "Train" "4" -0.98240084907489
"LAYING" "fBodyAccJerk-mean-Z" "Train" "5" -0.973685323967611
"LAYING" "fBodyAccJerk-mean-Z" "Train" "6" -0.981058803611111
"LAYING" "fBodyAccJerk-std-X" "Test" "1" -0.350105639786585
"LAYING" "fBodyAccJerk-std-X" "Test" "2" -0.447857381309524
"LAYING" "fBodyAccJerk-std-X" "Test" "3" -0.20144115324359
"LAYING" "fBodyAccJerk-std-X" "Test" "4" -0.976098714285714
"LAYING" "fBodyAccJerk-std-X" "Test" "5" -0.945984461860465
"LAYING" "fBodyAccJerk-std-X" "Test" "6" -0.978382080091743
"LAYING" "fBodyAccJerk-std-X" "Train" "1" -0.418460228296943
"LAYING" "fBodyAccJerk-std-X" "Train" "2" -0.429797507466667
"LAYING" "fBodyAccJerk-std-X" "Train" "3" -0.1991670287295
"LAYING" "fBodyAccJerk-std-X" "Train" "4" -0.983163374801762
"LAYING" "fBodyAccJerk-std-X" "Train" "5" -0.927523468340081
"LAYING" "fBodyAccJerk-std-X" "Train" "6" -0.973576401840278
"LAYING" "fBodyAccJerk-std-Y" "Test" "1" -0.0657935831463415
"LAYING" "fBodyAccJerk-std-Y" "Test" "2" -0.418708545369048
"LAYING" "fBodyAccJerk-std-Y" "Test" "3" -0.0107576294358974
"LAYING" "fBodyAccJerk-std-Y" "Test" "4" -0.979649319693878
"LAYING" "fBodyAccJerk-std-Y" "Test" "5" -0.968364581976744
"LAYING" "fBodyAccJerk-std-Y" "Test" "6" -0.982815906330275
"LAYING" "fBodyAccJerk-std-Y" "Train" "1" -0.17956688589083
"LAYING" "fBodyAccJerk-std-Y" "Train" "2" -0.465202872546296
"LAYING" "fBodyAccJerk-std-Y" "Train" "3" -0.1326125678135
"LAYING" "fBodyAccJerk-std-Y" "Train" "4" -0.978032524757709
"LAYING" "fBodyAccJerk-std-Y" "Train" "5" -0.960903917246964
"LAYING" "fBodyAccJerk-std-Y" "Train" "6" -0.982469092604167
"LAYING" "fBodyAccJerk-std-Z" "Test" "1" -0.493053500121951
"LAYING" "fBodyAccJerk-std-Z" "Test" "2" -0.553946700595238
"LAYING" "fBodyAccJerk-std-Z" "Test" "3" -0.361651666410256
"LAYING" "fBodyAccJerk-std-Z" "Test" "4" -0.981514107959184
"LAYING" "fBodyAccJerk-std-Z" "Test" "5" -0.977527619302326
"LAYING" "fBodyAccJerk-std-Z" "Test" "6" -0.984205130183486
"LAYING" "fBodyAccJerk-std-Z" "Train" "1" -0.525290082882096
"LAYING" "fBodyAccJerk-std-Z" "Train" "2" -0.714824606388889
"LAYING" "fBodyAccJerk-std-Z" "Train" "3" -0.514165207
"LAYING" "fBodyAccJerk-std-Z" "Train" "4" -0.985850306167401
"LAYING" "fBodyAccJerk-std-Z" "Train" "5" -0.9805740751417
"LAYING" "fBodyAccJerk-std-Z" "Train" "6" -0.984552142222222
"LAYING" "fBodyAccMag-mean" "Test" "1" -0.512379430365854
"LAYING" "fBodyAccMag-mean" "Test" "2" -0.366974125083333
"LAYING" "fBodyAccMag-mean" "Test" "3" -0.124784625470513
"LAYING" "fBodyAccMag-mean" "Test" "4" -0.962442219897959
"LAYING" "fBodyAccMag-mean" "Test" "5" -0.947254225581395
"LAYING" "fBodyAccMag-mean" "Test" "6" -0.962019336055046
"LAYING" "fBodyAccMag-mean" "Train" "1" -0.482010638209607
"LAYING" "fBodyAccMag-mean" "Train" "2" -0.343781242402778
"LAYING" "fBodyAccMag-mean" "Train" "3" -0.09598685682175
"LAYING" "fBodyAccMag-mean" "Train" "4" -0.957603112246696
"LAYING" "fBodyAccMag-mean" "Train" "5" -0.944791060809717
"LAYING" "fBodyAccMag-mean" "Train" "6" -0.970498983055556
"LAYING" "fBodyAccMag-std-X" "Test" "1" 0.275766806219512
"LAYING" "fBodyAccMag-std-X" "Test" "2" 0.26704509475
"LAYING" "fBodyAccMag-std-X" "Test" "3" 0.292401096166667
"LAYING" "fBodyAccMag-std-X" "Test" "4" 0.274149382857143
"LAYING" "fBodyAccMag-std-X" "Test" "5" 0.28191324744186
"LAYING" "fBodyAccMag-std-X" "Test" "6" 0.25987139353211
"LAYING" "fBodyAccMag-std-X" "Train" "1" 0.276633972139738
"LAYING" "fBodyAccMag-std-X" "Train" "2" 0.266501518074074
"LAYING" "fBodyAccMag-std-X" "Train" "3" 0.29114020527
"LAYING" "fBodyAccMag-std-X" "Train" "4" 0.274259137337004
"LAYING" "fBodyAccMag-std-X" "Train" "5" 0.27800068097166
"LAYING" "fBodyAccMag-std-X" "Train" "6" 0.279779416458333
"LAYING" "fBodyGyro-mean-X" "Test" "1" -0.519926665853659
"LAYING" "fBodyGyro-mean-X" "Test" "2" -0.571547045833333
"LAYING" "fBodyGyro-mean-X" "Test" "3" -0.415009066628205
"LAYING" "fBodyGyro-mean-X" "Test" "4" -0.98307778
"LAYING" "fBodyGyro-mean-X" "Test" "5" -0.946839029302326
"LAYING" "fBodyGyro-mean-X" "Test" "6" -0.984839780275229
"LAYING" "fBodyGyro-mean-X" "Train" "1" -0.553212022008734
"LAYING" "fBodyGyro-mean-X" "Train" "2" -0.497942452581944
"LAYING" "fBodyGyro-mean-X" "Train" "3" -0.32835672358735
"LAYING" "fBodyGyro-mean-X" "Train" "4" -0.986913189030837
"LAYING" "fBodyGyro-mean-X" "Train" "5" -0.929524026680162
"LAYING" "fBodyGyro-mean-X" "Train" "6" -0.9783115646875
"LAYING" "fBodyGyro-mean-Y" "Test" "1" -0.299329862276829
"LAYING" "fBodyGyro-mean-Y" "Test" "2" -0.406781304965476
"LAYING" "fBodyGyro-mean-Y" "Test" "3" -0.350230293128205
"LAYING" "fBodyGyro-mean-Y" "Test" "4" -0.971903981632653
"LAYING" "fBodyGyro-mean-Y" "Test" "5" -0.96000314372093
"LAYING" "fBodyGyro-mean-Y" "Test" "6" -0.967225817155963
"LAYING" "fBodyGyro-mean-Y" "Train" "1" -0.385868855688253
"LAYING" "fBodyGyro-mean-Y" "Train" "2" -0.463083948981481
"LAYING" "fBodyGyro-mean-Y" "Train" "3" -0.3574524493845
"LAYING" "fBodyGyro-mean-Y" "Train" "4" -0.978459601365639
"LAYING" "fBodyGyro-mean-Y" "Train" "5" -0.964658157327935
"LAYING" "fBodyGyro-mean-Y" "Train" "6" -0.978211186388889
"LAYING" "fBodyGyro-mean-Z" "Test" "1" -0.295797820962195
"LAYING" "fBodyGyro-mean-Z" "Test" "2" -0.200858474690476
"LAYING" "fBodyGyro-mean-Z" "Test" "3" -0.160023845512821
"LAYING" "fBodyGyro-mean-Z" "Test" "4" -0.967842897857143
"LAYING" "fBodyGyro-mean-Z" "Test" "5" -0.959281592558139
"LAYING" "fBodyGyro-mean-Z" "Test" "6" -0.978157240458716
"LAYING" "fBodyGyro-mean-Z" "Train" "1" -0.301491020441048
"LAYING" "fBodyGyro-mean-Z" "Train" "2" -0.343194091648148
"LAYING" "fBodyGyro-mean-Z" "Train" "3" -0.2038569679015
"LAYING" "fBodyGyro-mean-Z" "Train" "4" -0.964486407665198
"LAYING" "fBodyGyro-mean-Z" "Train" "5" -0.953368872307692
"LAYING" "fBodyGyro-mean-Z" "Train" "6" -0.971220085833333
"LAYING" "fBodyGyro-std" "Test" "1" -0.28273551715122
"LAYING" "fBodyGyro-std" "Test" "2" -0.273355560071429
"LAYING" "fBodyGyro-std" "Test" "3" 0.0215616453035897
"LAYING" "fBodyGyro-std" "Test" "4" -0.964503668367347
"LAYING" "fBodyGyro-std" "Test" "5" -0.955459458604651
"LAYING" "fBodyGyro-std" "Test" "6" -0.966955523853211
"LAYING" "fBodyGyro-std" "Train" "1" -0.316215746790393
"LAYING" "fBodyGyro-std" "Train" "2" -0.288542222861111
"LAYING" "fBodyGyro-std" "Train" "3" 0.1054980433645
"LAYING" "fBodyGyro-std" "Train" "4" -0.963763024669604
"LAYING" "fBodyGyro-std" "Train" "5" -0.950866241295547
"LAYING" "fBodyGyro-std" "Train" "6" -0.972690388472222
"LAYING" "fBodyGyro-std-Y" "Test" "1" -0.251427253414634
"LAYING" "fBodyGyro-std-Y" "Test" "2" -0.396092853095238
"LAYING" "fBodyGyro-std-Y" "Test" "3" -0.401269301628205
"LAYING" "fBodyGyro-std-Y" "Test" "4" -0.967724056734694
"LAYING" "fBodyGyro-std-Y" "Test" "5" -0.954046068023256
"LAYING" "fBodyGyro-std-Y" "Test" "6" -0.96252426559633
"LAYING" "fBodyGyro-std-Y" "Train" "1" -0.24413083320262
"LAYING" "fBodyGyro-std-Y" "Train" "2" -0.180721110693056
"LAYING" "fBodyGyro-std-Y" "Train" "3" -0.351328620635
"LAYING" "fBodyGyro-std-Y" "Train" "4" -0.971719852378855
"LAYING" "fBodyGyro-std-Y" "Train" "5" -0.958656386639676
"LAYING" "fBodyGyro-std-Y" "Train" "6" -0.97401064125
"LAYING" "fBodyGyro-std-Z" "Test" "1" -0.425403990609756
"LAYING" "fBodyGyro-std-Z" "Test" "2" -0.162526297547619
"LAYING" "fBodyGyro-std-Z" "Test" "3" -0.369139375717949
"LAYING" "fBodyGyro-std-Z" "Test" "4" -0.967571288367347
"LAYING" "fBodyGyro-std-Z" "Test" "5" -0.96266498
"LAYING" "fBodyGyro-std-Z" "Test" "6" -0.980703859357798
"LAYING" "fBodyGyro-std-Z" "Train" "1" -0.328719972349345
"LAYING" "fBodyGyro-std-Z" "Train" "2" -0.273766737502778
"LAYING" "fBodyGyro-std-Z" "Train" "3" -0.3917735447
"LAYING" "fBodyGyro-std-Z" "Train" "4" -0.96561789938326
"LAYING" "fBodyGyro-std-Z" "Train" "5" -0.955379517449393
"LAYING" "fBodyGyro-std-Z" "Train" "6" -0.974212662986111
"LAYING" "tBodyAcc-mean-X" "Test" "1" -0.372974929426829
"LAYING" "tBodyAcc-mean-X" "Test" "2" -0.261655359152381
"LAYING" "tBodyAcc-mean-X" "Test" "3" -0.0387517498705128
"LAYING" "tBodyAcc-mean-X" "Test" "4" -0.989272082142857
"LAYING" "tBodyAcc-mean-X" "Test" "5" -0.983609980581395
"LAYING" "tBodyAcc-mean-X" "Test" "6" -0.967749714678899
"LAYING" "tBodyAcc-mean-X" "Train" "1" -0.294501466689956
"LAYING" "tBodyAcc-mean-X" "Train" "2" -0.252070361280093
"LAYING" "tBodyAcc-mean-X" "Train" "3" 0.088006887587
"LAYING" "tBodyAcc-mean-X" "Train" "4" -0.986152733744493
"LAYING" "tBodyAcc-mean-X" "Train" "5" -0.984718632307692
"LAYING" "tBodyAcc-mean-X" "Train" "6" -0.976714642291667
"LAYING" "tBodyAcc-mean-Y" "Test" "1" -0.0221660266878049
"LAYING" "tBodyAcc-mean-Y" "Test" "2" -0.0257774265721429
"LAYING" "tBodyAcc-mean-Y" "Test" "3" -0.0129751288025641
"LAYING" "tBodyAcc-mean-Y" "Test" "4" -0.0133119424147959
"LAYING" "tBodyAcc-mean-Y" "Test" "5" -0.0134882466791628
"LAYING" "tBodyAcc-mean-Y" "Test" "6" -0.0154674311788991
"LAYING" "tBodyAcc-mean-Y" "Train" "1" -0.0166030862831218
"LAYING" "tBodyAcc-mean-Y" "Train" "2" -0.0257589450789352
"LAYING" "tBodyAcc-mean-Y" "Train" "3" -0.01703951151335
"LAYING" "tBodyAcc-mean-Y" "Train" "4" -0.0147702569412335
"LAYING" "tBodyAcc-mean-Y" "Train" "5" -0.0170962365919433
"LAYING" "tBodyAcc-mean-Y" "Train" "6" -0.0177484691913194
"LAYING" "tBodyAcc-mean-Z" "Test" "1" -0.109954823317073
"LAYING" "tBodyAcc-mean-Z" "Test" "2" -0.112799055214286
"LAYING" "tBodyAcc-mean-Z" "Test" "3" -0.105307023553846
"LAYING" "tBodyAcc-mean-Z" "Test" "4" -0.101703162479592
"LAYING" "tBodyAcc-mean-Z" "Test" "5" -0.104103760883721
"LAYING" "tBodyAcc-mean-Z" "Test" "6" -0.106657158678899
"LAYING" "tBodyAcc-mean-Z" "Train" "1" -0.105212179802183
"LAYING" "tBodyAcc-mean-Z" "Train" "2" -0.122151081286574
"LAYING" "tBodyAcc-mean-Z" "Train" "3" -0.1043451406015
"LAYING" "tBodyAcc-mean-Z" "Train" "4" -0.106750041098238
"LAYING" "tBodyAcc-mean-Z" "Train" "5" -0.108418620563968
"LAYING" "tBodyAcc-mean-Z" "Train" "6" -0.107464412836806
"LAYING" "tBodyAcc-std-X" "Test" "1" 0.939871308658537
"LAYING" "tBodyAcc-std-X" "Test" "2" 0.872474023809524
"LAYING" "tBodyAcc-std-X" "Test" "3" 0.942493047820513
"LAYING" "tBodyAcc-std-X" "Test" "4" 0.929427906530612
"LAYING" "tBodyAcc-std-X" "Test" "5" 0.943940774069767
"LAYING" "tBodyAcc-std-X" "Test" "6" -0.359216585220183
"LAYING" "tBodyAcc-std-X" "Train" "1" 0.954211779432314
"LAYING" "tBodyAcc-std-X" "Train" "2" 0.897919267222222
"LAYING" "tBodyAcc-std-X" "Train" "3" 0.94325756975
"LAYING" "tBodyAcc-std-X" "Train" "4" 0.878287687268722
"LAYING" "tBodyAcc-std-X" "Train" "5" 0.962936502510121
"LAYING" "tBodyAcc-std-X" "Train" "6" -0.429896896284722
"LAYING" "tBodyAcc-std-Y" "Test" "1" 0.0977450155670732
"LAYING" "tBodyAcc-std-Y" "Test" "2" -0.000948367071428572
"LAYING" "tBodyAcc-std-Y" "Test" "3" 0.125716675216667
"LAYING" "tBodyAcc-std-Y" "Test" "4" -0.954911092040816
"LAYING" "tBodyAcc-std-Y" "Test" "5" -0.931152644534884
"LAYING" "tBodyAcc-std-Y" "Test" "6" -0.976290065137615
"LAYING" "tBodyAcc-std-Y" "Train" "1" -0.144915895101354
"LAYING" "tBodyAcc-std-Y" "Train" "2" -0.123099490094907
"LAYING" "tBodyAcc-std-Y" "Train" "3" -0.023402094444
"LAYING" "tBodyAcc-std-Y" "Train" "4" -0.950418182246696
"LAYING" "tBodyAcc-std-Y" "Train" "5" -0.915567388825911
"LAYING" "tBodyAcc-std-Y" "Train" "6" -0.967555518541667
"LAYING" "tBodyAcc-std-Z" "Test" "1" -0.300223514634146
"LAYING" "tBodyAcc-std-Z" "Test" "2" -0.253973338095238
"LAYING" "tBodyAcc-std-Z" "Test" "3" -0.220188105
"LAYING" "tBodyAcc-std-Z" "Test" "4" -0.949597526938776
"LAYING" "tBodyAcc-std-Z" "Test" "5" -0.931173368837209
"LAYING" "tBodyAcc-std-Z" "Test" "6" -0.972800091743119
"LAYING" "tBodyAcc-std-Z" "Train" "1" -0.235363108960699
"LAYING" "tBodyAcc-std-Z" "Train" "2" -0.091908420945463
"LAYING" "tBodyAcc-std-Z" "Train" "3" -0.252164472946
"LAYING" "tBodyAcc-std-Z" "Train" "4" -0.952760936211454
"LAYING" "tBodyAcc-std-Z" "Train" "5" -0.935755176761134
"LAYING" "tBodyAcc-std-Z" "Train" "6" -0.9736757690625
"LAYING" "tBodyAccJerk-mean-X" "Test" "1" -0.356633679568293
"LAYING" "tBodyAccJerk-mean-X" "Test" "2" -0.390597654380952
"LAYING" "tBodyAccJerk-mean-X" "Test" "3" -0.298829020910256
"LAYING" "tBodyAccJerk-mean-X" "Test" "4" -0.986015501122449
"LAYING" "tBodyAccJerk-mean-X" "Test" "5" -0.977285175697674
"LAYING" "tBodyAccJerk-mean-X" "Test" "6" -0.985920384220183
"LAYING" "tBodyAccJerk-mean-X" "Train" "1" -0.315381389249345
"LAYING" "tBodyAccJerk-mean-X" "Train" "2" -0.386832723473148
"LAYING" "tBodyAccJerk-mean-X" "Train" "3" -0.08065257389915
"LAYING" "tBodyAccJerk-mean-X" "Train" "4" -0.986018018061674
"LAYING" "tBodyAccJerk-mean-X" "Train" "5" -0.977842032955466
"LAYING" "tBodyAccJerk-mean-X" "Train" "6" -0.983964462430556
"LAYING" "tBodyAccJerk-mean-Y" "Test" "1" -0.00365781390609756
"LAYING" "tBodyAccJerk-mean-Y" "Test" "2" -0.00968332518095238
"LAYING" "tBodyAccJerk-mean-Y" "Test" "3" 0.00235022899576923
"LAYING" "tBodyAccJerk-mean-Y" "Test" "4" 0.00491110384905102
"LAYING" "tBodyAccJerk-mean-Y" "Test" "5" 0.00947738371860465
"LAYING" "tBodyAccJerk-mean-Y" "Test" "6" 0.00658536734366972
"LAYING" "tBodyAccJerk-mean-Y" "Train" "1" 0.0171581217030568
"LAYING" "tBodyAccJerk-mean-Y" "Train" "2" 0.000718177468287036
"LAYING" "tBodyAccJerk-mean-Y" "Train" "3" 0.004621599839
"LAYING" "tBodyAccJerk-mean-Y" "Train" "4" 0.0096863492430837
"LAYING" "tBodyAccJerk-mean-Y" "Train" "5" 0.0106631927957854
"LAYING" "tBodyAccJerk-mean-Y" "Train" "6" 0.00999259794409722
"LAYING" "tBodyAccJerk-mean-Z" "Test" "1" -0.00815779775853659
"LAYING" "tBodyAccJerk-mean-Z" "Test" "2" -0.0172990940786905
"LAYING" "tBodyAccJerk-mean-Z" "Test" "3" -0.0012494911224359
"LAYING" "tBodyAccJerk-mean-Z" "Test" "4" -0.000922153744591837
"LAYING" "tBodyAccJerk-mean-Z" "Test" "5" -0.00486403944174419
"LAYING" "tBodyAccJerk-mean-Z" "Test" "6" -0.00307147340015596
"LAYING" "tBodyAccJerk-mean-Z" "Train" "1" -0.00688442813886463
"LAYING" "tBodyAccJerk-mean-Z" "Train" "2" 0.00162689959259259
"LAYING" "tBodyAccJerk-mean-Z" "Train" "3" -0.0089247668355
"LAYING" "tBodyAccJerk-mean-Z" "Train" "4" -0.000983237922114538
"LAYING" "tBodyAccJerk-mean-Z" "Train" "5" -0.000656268797174089
"LAYING" "tBodyAccJerk-mean-Z" "Train" "6" 0.00202879829164583
"LAYING" "tBodyAccJerk-std-X" "Test" "1" -0.0424791179536585
"LAYING" "tBodyAccJerk-std-X" "Test" "2" 0.0939407787571429
"LAYING" "tBodyAccJerk-std-X" "Test" "3" -0.104376905614103
"LAYING" "tBodyAccJerk-std-X" "Test" "4" -0.0354405650071429
"LAYING" "tBodyAccJerk-std-X" "Test" "5" -0.0280994672161628
"LAYING" "tBodyAccJerk-std-X" "Test" "6" -0.0181795748706422
"LAYING" "tBodyAccJerk-std-X" "Train" "1" -0.0611590415859825
"LAYING" "tBodyAccJerk-std-X" "Train" "2" -0.0326754886013889
"LAYING" "tBodyAccJerk-std-X" "Train" "3" -0.099706348662175
"LAYING" "tBodyAccJerk-std-X" "Train" "4" -0.0359072884400881
"LAYING" "tBodyAccJerk-std-X" "Train" "5" -0.0265875347403644
"LAYING" "tBodyAccJerk-std-X" "Train" "6" -0.0220424790721528
"LAYING" "tBodyAccJerk-std-Y" "Test" "1" -0.0775110300731707
"LAYING" "tBodyAccJerk-std-Y" "Test" "2" -0.408562557511905
"LAYING" "tBodyAccJerk-std-Y" "Test" "3" -0.0175784230615385
"LAYING" "tBodyAccJerk-std-Y" "Test" "4" -0.977594631836735
"LAYING" "tBodyAccJerk-std-Y" "Test" "5" -0.965394098488372
"LAYING" "tBodyAccJerk-std-Y" "Test" "6" -0.981271879082569
"LAYING" "tBodyAccJerk-std-Y" "Train" "1" -0.174830409160393
"LAYING" "tBodyAccJerk-std-Y" "Train" "2" -0.44394334312963
"LAYING" "tBodyAccJerk-std-Y" "Train" "3" -0.103274180968
"LAYING" "tBodyAccJerk-std-Y" "Train" "4" -0.976530005991189
"LAYING" "tBodyAccJerk-std-Y" "Train" "5" -0.958320832267206
"LAYING" "tBodyAccJerk-std-Y" "Train" "6" -0.981017269201389
"LAYING" "tBodyAccJerk-std-Z" "Test" "1" -0.474927924390244
"LAYING" "tBodyAccJerk-std-Z" "Test" "2" -0.523605119047619
"LAYING" "tBodyAccJerk-std-Z" "Test" "3" -0.33068238975641
"LAYING" "tBodyAccJerk-std-Z" "Test" "4" -0.97978388122449
"LAYING" "tBodyAccJerk-std-Z" "Test" "5" -0.975068298604651
"LAYING" "tBodyAccJerk-std-Z" "Test" "6" -0.983800381834862
